customer_id,customer_name,city,city_tier,signup_date,gender,age
151,Neha Nair,Surat,Tier 2,2025-12-17,Male,54
152,Riya Iyer,Delhi,Tier 1,2025-09-12,Female,32
153,Ishaan Kumar,Kolkata,Tier 1,2025-09-27,Male,37
154,Ishaan Gupta,Bhopal,Tier 2,2024-02-04,Female,38
155,Ankit Yadav,Indore,Tier 2,2024-06-28,Female,28
156,Riya Mishra,Jaipur,Tier 2,2026-04-24,Male,47
157,Neha Bansal,Bengaluru,Tier 1,2024-05-24,Female,23
158,Krishna Malhotra,Nagpur,Tier 2,2024-01-15,Female,34
159,Reyansh Iyer,Coimbatore,Tier 2,2025-01-25,Female,19
160,Yash Iyer,Guwahati,Tier 3,2025-07-28,Male,47
161,Ishaan Verma,Surat,Tier 2,2025-10-26,Male,37
162,Ankit Singh,Patna,Tier 3,2024-04-28,Female,47
163,Ankit Joshi,Kanpur,Tier 2,2025-11-17,Male,44
164,Pooja Nair,Hyderabad,Tier 1,2026-05-03,Male,41
165,Ramesh Kumar,Kolkata,Tier 1,2025-03-30,Female,52
166,Saanvi Kumar,Kanpur,Tier 2,2024-03-03,Female,23
167,Vivaan Verma,Kolkata,Tier 1,2025-10-19,Female,33
168,Arjun Bansal,Ahmedabad,Tier 2,2026-03-16,Male,55
169,Rohan Das,Kolkata,Tier 1,2026-04-12,Male,35
170,Diya Kumar,Ahmedabad,Tier 2,2024-05-13,Male,26
171,Rahul Sharma,Mumbai,Tier 1,2025-01-01,Male,34
172,Suraj Kumar,Delhi,Tier 1,2024-05-09,Male,48
173,Meera Kumar,Bhopal,Tier 2,2026-03-07,Female,50
174,Suraj Rao,Pune,Tier 1,2025-09-21,Female,19
175,Reyansh Kapoor,Delhi,Tier 1,2025-05-05,Female,22
176,Arjun Singh,Bengaluru,Tier 1,2024-11-25,Female,55
177,Tanvi Agarwal,Vadodara,Tier 2,2025-12-30,Female,47
178,Krishna Bansal,Ghaziabad,Tier 3,2025-09-11,Male,45
179,Sneha Chauhan,Bhopal,Tier 2,2024-08-21,Female,24
180,Anika Yadav,Lucknow,Tier 2,2025-03-13,Male,48
181,Kavya Kumar,Bengaluru,Tier 1,2024-04-03,Female,26
182,Nisha Mishra,Vadodara,Tier 2,2024-03-02,Male,44
183,Vihaan Rao,Kanpur,Tier 2,2025-11-12,Female,40
184,Rohan Kapoor,Hyderabad,Tier 1,2025-08-14,Male,24
185,Krishna Nair,Kanpur,Tier 2,2026-05-15,Male,45
186,Nisha Sharma,Vadodara,Tier 2,2026-02-24,Female,19
187,Priya Mishra,Chennai,Tier 1,2024-10-06,Female,18
188,Neha Gupta,Chennai,Tier 1,2024-05-26,Male,19
189,Vikas Joshi,Bengaluru,Tier 1,2026-02-03,Female,39
190,Rahul Chatterjee,Chennai,Tier 1,2025-01-13,Male,21
191,Sai Nair,Ahmedabad,Tier 2,2024-06-10,Female,45
192,Navya Reddy,Patna,Tier 3,2025-09-13,Male,40
193,Meera Kapoor,Indore,Tier 2,2024-04-23,Female,20
194,Aarav Reddy,Pune,Tier 1,2025-02-08,Female,31
195,Rahul Kumar,Ahmedabad,Tier 2,2026-02-21,Male,49
196,Ankit Iyer,Indore,Tier 2,2024-06-28,Female,22
197,Vivaan Malhotra,Nagpur,Tier 2,2026-01-29,Male,38
198,Pooja Rao,Coimbatore,Tier 2,2025-03-15,Male,43
199,Yash Malhotra,Mumbai,Tier 1,2024-11-28,Female,23
200,Kavya Chatterjee,Indore,Tier 2,2026-05-14,Female,51
201,Amit Iyer,Bengaluru,Tier 1,2025-02-09,Female,28
202,Suraj Agarwal,Bengaluru,Tier 1,2025-06-06,Male,40
203,Rohan Iyer,Kanpur,Tier 2,2026-01-14,Male,27
204,Rohan Gupta,Jaipur,Tier 2,2024-07-21,Male,49
205,Meera Malhotra,Bhopal,Tier 2,2026-02-11,Female,38
206,Isha Rao,Ahmedabad,Tier 2,2025-03-26,Female,55
207,Priya Malhotra,Delhi,Tier 1,2024-12-26,Female,20
208,Sai Das,Delhi,Tier 1,2025-01-12,Female,47
209,Aditya Malhotra,Coimbatore,Tier 2,2025-07-21,Male,38
210,Vihaan Malhotra,Guwahati,Tier 3,2025-05-02,Male,39
211,Aditya Iyer,Bengaluru,Tier 1,2025-05-31,Female,46
212,Ramesh Yadav,Ghaziabad,Tier 3,2025-06-19,Female,42
213,Tanvi Verma,Indore,Tier 2,2026-03-04,Female,22
214,Vikas Rao,Lucknow,Tier 2,2024-04-06,Female,27
215,Rohan Yadav,Lucknow,Tier 2,2024-03-24,Female,43
216,Priya Bansal,Ahmedabad,Tier 2,2025-09-01,Female,39
217,Suraj Gupta,Ahmedabad,Tier 2,2025-11-17,Female,50
218,Diya Reddy,Kanpur,Tier 2,2024-01-19,Female,49
219,Arjun Rao,Kolkata,Tier 1,2024-08-19,Male,50
220,Suraj Verma,Vadodara,Tier 2,2026-05-05,Female,26
221,Diya Das,Guwahati,Tier 3,2025-01-20,Male,46
222,Pari Malhotra,Delhi,Tier 1,2025-02-24,Female,46
223,Karan Reddy,Pune,Tier 1,2025-06-30,Female,54
224,Vikas Agarwal,Bhopal,Tier 2,2025-04-17,Female,28
225,Anika Verma,Kolkata,Tier 1,2026-03-31,Female,41
226,Suraj Kumar,Vadodara,Tier 2,2024-04-15,Female,23
227,Deepak Singh,Chennai,Tier 1,2024-10-06,Female,23
228,Suresh Sharma,Pune,Tier 1,2026-04-16,Female,21
229,Vikas Gupta,Nagpur,Tier 2,2025-05-29,Female,32
230,Amit Singh,Mumbai,Tier 1,2024-11-22,Male,20
231,Ishaan Kapoor,Surat,Tier 2,2026-04-29,Female,18
232,Rohan Bansal,Bengaluru,Tier 1,2024-01-20,Female,25
233,Vihaan Iyer,Surat,Tier 2,2024-08-31,Female,47
234,Ankit Sharma,Bengaluru,Tier 1,2024-04-23,Male,27
235,Suresh Iyer,Surat,Tier 2,2025-03-15,Female,29
236,Suraj Bansal,Bengaluru,Tier 1,2025-06-20,Male,42
237,Ramesh Nair,Patna,Tier 3,2024-02-14,Male,40
238,Reyansh Chatterjee,Bengaluru,Tier 1,2024-12-19,Female,26
239,Diya Malhotra,Delhi,Tier 1,2024-12-26,Female,29
240,Sneha Verma,Ahmedabad,Tier 2,2024-03-05,Female,30
241,Aditya Mishra,Delhi,Tier 1,2026-03-21,Female,50
242,Anika Verma,Nagpur,Tier 2,2026-04-14,Male,36
243,Amit Nair,Kanpur,Tier 2,2026-03-10,Male,41
244,Vikas Mishra,Indore,Tier 2,2025-02-13,Male,49
245,Sai Joshi,Patna,Tier 3,2025-01-11,Male,45
246,Riya Mishra,Guwahati,Tier 3,2026-04-22,Male,23
247,Isha Das,Lucknow,Tier 2,2025-11-07,Female,28
248,Suresh Das,Bhopal,Tier 2,2024-12-25,Female,35
249,Neha Yadav,Delhi,Tier 1,2024-03-17,Male,19
250,Isha Verma,Ahmedabad,Tier 2,2026-05-19,Male,22
251,Ramesh Chauhan,Pune,Tier 1,2026-03-08,Male,27
252,Arjun Chatterjee,Bhopal,Tier 2,2025-01-14,Male,51
253,Navya Iyer,Kanpur,Tier 2,2025-02-11,Male,19
254,Nisha Kumar,Chennai,Tier 1,2025-05-26,Female,34
255,Manish Reddy,Bhopal,Tier 2,2024-08-07,Male,26
256,Isha Gupta,Bengaluru,Tier 1,2025-04-07,Female,40
257,Priya Patel,Bengaluru,Tier 1,2025-07-17,Male,41
258,Ishaan Iyer,Ghaziabad,Tier 3,2024-08-17,Female,19
259,Sneha Bansal,Kanpur,Tier 2,2025-07-21,Male,23
260,Karan Agarwal,Bengaluru,Tier 1,2024-11-12,Female,44
261,Arjun Malhotra,Coimbatore,Tier 2,2024-03-16,Female,51
262,Meera Patel,Kanpur,Tier 2,2024-05-11,Male,45
263,Rohan Rao,Ghaziabad,Tier 3,2024-02-26,Male,28
264,Suraj Rao,Lucknow,Tier 2,2025-12-27,Male,34
265,Ishaan Rao,Kolkata,Tier 1,2025-10-12,Male,50
266,Ananya Das,Chennai,Tier 1,2025-08-29,Female,54
267,Aditya Chatterjee,Delhi,Tier 1,2026-04-25,Female,31
268,Vivaan Kapoor,Coimbatore,Tier 2,2025-03-02,Female,37
269,Priya Malhotra,Patna,Tier 3,2024-09-07,Male,21
270,Sneha Reddy,Chennai,Tier 1,2025-03-26,Female,27
271,Suresh Chauhan,Lucknow,Tier 2,2026-01-05,Male,41
272,Pari Malhotra,Ghaziabad,Tier 3,2025-07-29,Male,35
273,Vihaan Rao,Bhopal,Tier 2,2024-09-10,Female,44
274,Swati Mishra,Pune,Tier 1,2024-06-12,Male,28
275,Priya Kapoor,Patna,Tier 3,2025-06-11,Male,23
276,Aadhya Chatterjee,Nagpur,Tier 2,2025-06-01,Female,21
277,Karan Rao,Delhi,Tier 1,2024-10-15,Male,24
278,Ramesh Chauhan,Indore,Tier 2,2024-05-17,Female,20
279,Saanvi Yadav,Nagpur,Tier 2,2024-02-22,Female,22
280,Nisha Nair,Nagpur,Tier 2,2025-05-31,Male,26
281,Amit Bansal,Hyderabad,Tier 1,2025-02-07,Female,27
282,Deepak Verma,Kolkata,Tier 1,2025-09-08,Male,20
283,Karan Agarwal,Ahmedabad,Tier 2,2025-12-31,Female,27
284,Yash Mishra,Guwahati,Tier 3,2025-06-11,Male,43
285,Amit Agarwal,Guwahati,Tier 3,2026-01-27,Female,54
286,Amit Kumar,Surat,Tier 2,2025-05-01,Female,55
287,Vivaan Das,Surat,Tier 2,2026-03-26,Female,34
288,Vihaan Chatterjee,Coimbatore,Tier 2,2025-08-14,Female,28
289,Vikas Singh,Ghaziabad,Tier 3,2025-10-06,Male,20
290,Vivaan Malhotra,Coimbatore,Tier 2,2025-12-18,Female,44
291,Pooja Agarwal,Ahmedabad,Tier 2,2025-02-26,Female,21
292,Rahul Kapoor,Ahmedabad,Tier 2,2025-06-15,Female,38
293,Ankit Yadav,Chennai,Tier 1,2025-04-15,Female,48
294,Priya Iyer,Kolkata,Tier 1,2024-09-09,Female,36
295,Rahul Kapoor,Kolkata,Tier 1,2025-12-07,Female,53
296,Ankit Chauhan,Jaipur,Tier 2,2024-10-21,Female,40
297,Sai Yadav,Ahmedabad,Tier 2,2024-10-24,Female,34
298,Ankit Nair,Patna,Tier 3,2024-08-07,Female,26
299,Pari Iyer,Hyderabad,Tier 1,2025-09-22,Male,51
300,Reyansh Joshi,Pune,Tier 1,2025-10-15,Female,48
301,Nisha Patel,Hyderabad,Tier 1,2025-11-28,Female,48
302,Riya Mishra,Patna,Tier 3,2025-10-28,Female,21
303,Ankit Verma,Bengaluru,Tier 1,2025-10-29,Male,44
304,Manish Patel,Chennai,Tier 1,2024-02-07,Female,20
305,Reyansh Mishra,Mumbai,Tier 1,2024-11-01,Female,47
306,Ishaan Agarwal,Vadodara,Tier 2,2025-06-20,Female,35
307,Ananya Malhotra,Kolkata,Tier 1,2026-04-08,Female,29
308,Riya Chatterjee,Mumbai,Tier 1,2026-01-24,Male,29
309,Neha Joshi,Guwahati,Tier 3,2026-05-26,Female,23
310,Ishaan Kapoor,Nagpur,Tier 2,2025-11-16,Female,33
311,Isha Nair,Mumbai,Tier 1,2024-09-24,Female,37
312,Anika Yadav,Coimbatore,Tier 2,2026-01-10,Male,21
313,Neha Agarwal,Hyderabad,Tier 1,2025-04-21,Female,25
314,Myra Singh,Surat,Tier 2,2025-01-11,Female,27
315,Pooja Bansal,Bhopal,Tier 2,2026-02-04,Female,52
316,Tanvi Gupta,Kolkata,Tier 1,2026-02-19,Female,51
317,Vihaan Bansal,Kanpur,Tier 2,2024-03-20,Male,54
318,Suraj Malhotra,Vadodara,Tier 2,2024-06-02,Male,31
319,Deepak Malhotra,Coimbatore,Tier 2,2025-05-15,Male,47
320,Swati Verma,Ahmedabad,Tier 2,2025-06-09,Female,37
321,Aarav Reddy,Mumbai,Tier 1,2025-02-09,Male,20
322,Ankit Verma,Indore,Tier 2,2024-12-18,Male,48
323,Ishaan Joshi,Delhi,Tier 1,2024-10-20,Female,42
324,Ankit Singh,Bhopal,Tier 2,2025-01-21,Female,25
325,Ishaan Iyer,Chennai,Tier 1,2025-07-04,Male,19
326,Ankit Joshi,Surat,Tier 2,2025-04-19,Female,32
327,Navya Reddy,Pune,Tier 1,2025-04-16,Male,20
328,Aadhya Gupta,Indore,Tier 2,2025-09-21,Male,20
329,Vihaan Iyer,Bhopal,Tier 2,2025-09-04,Male,43
330,Vihaan Singh,Bhopal,Tier 2,2024-08-27,Female,32
331,Rahul Iyer,Coimbatore,Tier 2,2024-11-22,Female,27
332,Navya Verma,Ghaziabad,Tier 3,2024-08-14,Male,45
333,Vikas Agarwal,Vadodara,Tier 2,2025-05-22,Female,44
334,Diya Bansal,Indore,Tier 2,2024-06-01,Female,33
335,Sneha Verma,Pune,Tier 1,2024-11-03,Female,44
336,Pari Nair,Vadodara,Tier 2,2025-06-26,Male,39
337,Ankit Reddy,Bengaluru,Tier 1,2025-04-05,Male,35
338,Aditya Gupta,Nagpur,Tier 2,2025-11-20,Male,55
339,Amit Rao,Vadodara,Tier 2,2024-08-10,Male,31
340,Karan Iyer,Kolkata,Tier 1,2026-01-29,Male,43
341,Riya Chauhan,Pune,Tier 1,2025-07-19,Female,52
342,Deepak Kapoor,Kanpur,Tier 2,2024-11-11,Female,24
343,Aadhya Yadav,Patna,Tier 3,2026-02-18,Female,44
344,Rohan Sharma,Delhi,Tier 1,2025-07-30,Female,53
345,Riya Singh,Coimbatore,Tier 2,2025-08-16,Male,39
346,Pari Kapoor,Pune,Tier 1,2025-01-23,Female,34
347,Manish Malhotra,Patna,Tier 3,2026-01-10,Male,40
348,Manish Patel,Chennai,Tier 1,2024-05-23,Male,51
349,Vihaan Sharma,Delhi,Tier 1,2026-05-09,Female,26
350,Aarav Reddy,Pune,Tier 1,2024-03-10,Female,41
351,Yash Kapoor,Delhi,Tier 1,2025-09-24,Female,19
352,Aarav Sharma,Mumbai,Tier 1,2025-06-28,Female,52
353,Kavya Patel,Surat,Tier 2,2024-01-18,Male,24
354,Yash Agarwal,Ghaziabad,Tier 3,2024-06-01,Female,40
355,Ramesh Chauhan,Jaipur,Tier 2,2026-03-25,Female,54
356,Sai Verma,Pune,Tier 1,2025-12-14,Male,43
357,Vihaan Sharma,Nagpur,Tier 2,2025-01-21,Male,23
358,Amit Chatterjee,Patna,Tier 3,2026-05-15,Male,51
359,Swati Kapoor,Delhi,Tier 1,2024-08-23,Female,20
360,Ankit Chatterjee,Bengaluru,Tier 1,2025-12-01,Male,29
361,Rohan Chauhan,Lucknow,Tier 2,2024-01-17,Male,37
362,Vikas Bansal,Chennai,Tier 1,2025-07-31,Female,42
363,Sai Agarwal,Ahmedabad,Tier 2,2026-03-20,Female,21
364,Arjun Mishra,Hyderabad,Tier 1,2025-03-23,Female,38
365,Isha Kapoor,Mumbai,Tier 1,2025-10-11,Male,40
366,Meera Chauhan,Vadodara,Tier 2,2025-01-19,Male,36
367,Navya Singh,Pune,Tier 1,2025-12-31,Female,27
368,Sai Sharma,Nagpur,Tier 2,2024-11-20,Female,46
369,Ishaan Gupta,Kanpur,Tier 2,2026-02-18,Male,45
370,Pooja Kumar,Bhopal,Tier 2,2025-07-24,Male,23
371,Tanvi Mishra,Kanpur,Tier 2,2025-07-21,Female,18
372,Sai Bansal,Surat,Tier 2,2025-02-27,Male,54
373,Ananya Singh,Ghaziabad,Tier 3,2024-06-22,Female,37
374,Ananya Joshi,Jaipur,Tier 2,2025-05-19,Female,44
375,Anika Iyer,Surat,Tier 2,2025-05-10,Female,30
376,Aarav Chauhan,Bhopal,Tier 2,2024-04-19,Female,42
377,Tanvi Singh,Lucknow,Tier 2,2025-03-26,Female,38
378,Rahul Patel,Guwahati,Tier 3,2025-12-12,Female,38
379,Manish Chatterjee,Surat,Tier 2,2026-01-22,Male,38
380,Krishna Chatterjee,Nagpur,Tier 2,2024-10-14,Male,55
381,Nisha Sharma,Vadodara,Tier 2,2024-07-03,Female,31
382,Arjun Joshi,Bhopal,Tier 2,2026-03-27,Female,26
383,Rohan Joshi,Surat,Tier 2,2024-09-04,Female,22
384,Neha Bansal,Bhopal,Tier 2,2025-09-04,Female,52
385,Ankit Das,Delhi,Tier 1,2026-03-20,Male,24
386,Ananya Das,Pune,Tier 1,2025-11-04,Male,54
387,Kavya Kumar,Nagpur,Tier 2,2026-02-09,Male,24
388,Suraj Bansal,Jaipur,Tier 2,2024-08-15,Male,46
389,Meera Agarwal,Kanpur,Tier 2,2025-02-04,Male,40
390,Pooja Gupta,Mumbai,Tier 1,2025-05-09,Male,27
391,Aadhya Agarwal,Kanpur,Tier 2,2024-11-15,Female,40
392,Isha Mishra,Patna,Tier 3,2024-04-09,Male,37
393,Vivaan Mishra,Delhi,Tier 1,2026-04-09,Male,28
394,Ananya Mishra,Pune,Tier 1,2025-06-12,Female,47
395,Diya Patel,Pune,Tier 1,2026-03-27,Female,43
396,Saanvi Malhotra,Mumbai,Tier 1,2026-01-25,Female,42
397,Navya Gupta,Mumbai,Tier 1,2025-12-22,Male,52
398,Sneha Kumar,Chennai,Tier 1,2025-01-09,Female,49
399,Vikas Das,Ghaziabad,Tier 3,2025-10-16,Female,55
400,Sneha Das,Hyderabad,Tier 1,2024-12-22,Male,37
401,Ishaan Mishra,Guwahati,Tier 3,2025-08-27,Male,33
402,Rohan Agarwal,Surat,Tier 2,2024-04-29,Female,44
403,Kavya Patel,Guwahati,Tier 3,2024-05-21,Female,52
